,Candidate,Actual_EC,dHondt_EC,EC_Percentage,Popular_Vote,Discrepancy
0,,1976_EC,dHondt_EC,EC_Percentage,1976_Vote,Discrepancy
1,"Carter, Jimmy",297,272.0,50.56,50.08,0.48
2,"Ford, Gerald",241,266.0,49.44,48.02,1.42
3,"Macbride, Roger",0,0.0,0.0,0.21,-0.21
4,"McCarthy, Eugene """"Gene""""",0,0.0,0.0,0.91,-0.91
5,"Anderson, Thomas J.",0,0.0,0.0,0.19,-0.19
6,,1980_EC,dHondt_EC,EC_Percentage,1980_Vote,Discrepancy
7,"Reagan, Ronald",489,292.0,54.28,50.75,3.53
8,"Carter, Jimmy",49,228.0,42.38,41.01,1.37
9,"Clark, Edward """"Ed""""",0,0.0,0.0,1.06,-1.06
10,"Anderson, John B.",0,18.0,3.35,6.61,-3.26
11,,1984_EC,dHondt_EC,EC_Percentage,1984_Vote,Discrepancy
12,"Reagan, Ronald",525,326.0,60.59,58.77,1.82
13,"Mondale, Walter",13,212.0,39.41,40.56,-1.15
14,"Bergland, David",0,0.0,0.0,0.25,-0.25
15,,1988_EC,dHondt_EC,EC_Percentage,1988_Vote,Discrepancy
16,"Bush, George H.W.",426,295.0,54.83,53.37,1.46
17,"Dukakis, Michael",112,243.0,45.17,45.65,-0.48
18,"Paul, Ronald """"Ron""""",0,0.0,0.0,0.47,-0.47
19,,1992_EC,dHondt_EC,EC_Percentage,1992_Vote,Discrepancy
20,"Bush, George H.W.",168,204.0,37.92,37.45,0.47
21,"Clinton, Bill",370,241.0,44.8,43.01,1.79
22,"Perot, Ross",0,93.0,17.29,18.91,-1.62
23,"Gritz, James """"Bo""""",0,0.0,0.0,0.1,-0.1
24,,1996_EC,dHondt_EC,EC_Percentage,1996_Vote,Discrepancy
25,"Dole, Robert",159,234.0,43.49,40.71,2.78
26,"Clinton, Bill",379,279.0,51.86,49.24,2.62
27,"Perot, Ross",0,24.0,4.46,8.4,-3.94
28,"Nader, Ralph",0,1.0,0.19,0.71,-0.52
29,,2000_EC,dHondt_EC,EC_Percentage,2000_Vote,Discrepancy
30,"Bush, George W.",271,267.0,49.63,47.87,1.76
31,"Gore, Al",267,268.0,49.81,48.38,1.43
32,"Nader, Ralph",0,3.0,0.56,2.74,-2.18
33,"Buchanan, Patrick """"Pat""""",0,0.0,0.0,0.43,-0.43
34,,2004_EC,dHondt_EC,EC_Percentage,2004_Vote,Discrepancy
35,"Bush, George W.",286,280.0,52.04,50.73,1.31
36,"Kerry, John",252,258.0,47.96,48.27,-0.31
37,,2008_EC,dHondt_EC,EC_Percentage,2008_Vote,Discrepancy
38,"McCain, John",173,250.0,46.47,45.65,0.82
39,"Obama, Barack H.",365,288.0,53.53,52.93,0.6
40,"Paul, Ronald """"Ron""""",0,0.0,0.0,0.03,-0.03
41,,2012_EC,dHondt_EC,EC_Percentage,2012_Vote,Discrepancy
42,"Romney, Mitt",206,264.0,49.07,47.2,1.87
43,"Obama, Barack H.",332,274.0,50.93,51.06,-0.13
44,"Johnson, Gary",0,0.0,0.0,0.99,-0.99
45,,2016_EC,dHondt_EC,EC_Percentage,2016_Vote,Discrepancy
46,"Trump, Donald J.",306,265.0,49.26,46.09,3.17
47,"Clinton, Hillary",232,269.0,50.0,48.18,1.82
48,"Johnson, Gary",0,2.0,0.37,3.28,-2.91
49,"Stein, Jill",0,1.0,0.19,1.07,-0.88
50,"McMullin, Evan",0,1.0,0.19,0.54,-0.35
51,None Of The Above,0,0.0,0.0,0.02,-0.02
52,"Sanders, Bernie",0,0.0,0.0,0.013,-0.01
